component_key,title,menu_code,route_path,phase,view_permission,schema_tables,endpoints,backend_status
dashboard,Dashboard,dashboard,/dashboard,P0,authenticated/self,iam.users;iam.sessions;audit.login_events;audit.security_events;jobs.schedule_runs;notify.messages,GET /admin-api/v1/dashboard/summary;GET /admin-api/v1/dashboard/trends;GET /admin-api/v1/dashboard/activity,existing
system.settings.configs,系统配置,system.settings.configs,/system/settings/configs,P2,sys.config.read,sys.config_items;storage.upload_sessions;storage.upload_parts,GET /admin-api/v1/configs;POST /admin-api/v1/configs;PATCH /admin-api/v1/configs/{id};POST /admin-api/v1/configs/{id}/rotate-secret;GET /admin-api/v1/files/upload-policy;POST /admin-api/v1/files/upload-sessions;PUT /admin-api/v1/files/upload-sessions/{id}/parts/{partNumber};POST /admin-api/v1/files/upload-sessions/{id}/complete;DELETE /admin-api/v1/files/upload-sessions/{id},existing
system.settings.dictionaries,字典管理,system.settings.dictionaries,/system/settings/dictionaries,P2,sys.dictionary.read,sys.dict_types;sys.dict_items,GET /admin-api/v1/dict-types;POST /admin-api/v1/dict-types;PATCH /admin-api/v1/dict-types/{id};GET /admin-api/v1/dict-types/{id}/items;POST /admin-api/v1/dict-types/{id}/items;PATCH /admin-api/v1/dict-items/{id};DELETE /admin-api/v1/dict-items/{id},existing
system.settings.regions,地区管理,system.settings.regions,/system/settings/regions,P2,sys.region.read,sys.regions,GET /admin-api/v1/regions,existing
system.settings.modules,模块信息,system.settings.modules,/system/settings/modules,P2,sys.module.read,sys.modules,GET /admin-api/v1/modules,existing
system.users.departments,部门,system.users.departments,/system/users/departments,P1,org.unit.read,org.units;org.user_units,GET /admin-api/v1/org/units/tree;POST /admin-api/v1/org/units;PATCH /admin-api/v1/org/units/{id};POST /admin-api/v1/org/units/{id}/move;DELETE /admin-api/v1/org/units/{id},existing
system.users.accounts,用户,system.users.accounts,/system/users/accounts,P1,iam.user.read,iam.users;iam.tenant_members;iam.user_roles;org.user_units;org.user_positions;iam.sessions;iam.devices;audit.login_events,GET /admin-api/v1/users;POST /admin-api/v1/users;GET /admin-api/v1/users/{id};PATCH /admin-api/v1/users/{id};POST /admin-api/v1/users/{id}/enable;POST /admin-api/v1/users/{id}/disable;POST /admin-api/v1/users/{id}/unlock;POST /admin-api/v1/users/{id}/reset-password;PUT /admin-api/v1/users/{id}/roles;PUT /admin-api/v1/org/users/{user_id}/assignments;GET /admin-api/v1/users/{id}/sessions;DELETE /admin-api/v1/users/{id}/sessions/{session_id};POST /admin-api/v1/users/import;POST /admin-api/v1/users/export,existing
system.users.positions,岗位,system.users.positions,/system/users/positions,P1,org.position.read,org.positions;org.user_positions,GET /admin-api/v1/org/positions;POST /admin-api/v1/org/positions;PATCH /admin-api/v1/org/positions/{id};DELETE /admin-api/v1/org/positions/{id},existing
system.users.tenants,租户,system.users.tenants,/system/users/tenants,P1,iam.tenant.read,iam.tenants;iam.tenant_members,GET /admin-api/v1/tenants;POST /admin-api/v1/tenants;GET /admin-api/v1/tenants/{id};PATCH /admin-api/v1/tenants/{id};GET /admin-api/v1/tenants/{id}/members;POST /admin-api/v1/tenants/{id}/members;PATCH /admin-api/v1/tenants/{id}/members/{user_id};DELETE /admin-api/v1/tenants/{id}/members/{user_id};POST /admin-api/v1/auth/switch-tenant,existing
system.access.roles,角色,system.access.roles,/system/access/roles,P1,iam.role.read,iam.roles;iam.role_permissions;sys.role_menus;iam.role_scope_units;iam.user_roles,GET /admin-api/v1/roles;POST /admin-api/v1/roles;PATCH /admin-api/v1/roles/{id};DELETE /admin-api/v1/roles/{id};PUT /admin-api/v1/roles/{id}/permissions;PUT /admin-api/v1/roles/{id}/menus;PUT /admin-api/v1/roles/{id}/data-scope,existing
